PHASE;SECTION;EPIC;REQUIREMENT NAME;ASSUMPTION;TASK TYPE;EC;BA;SA;BD;FD;CS;QA;CR;PM;Hrs;MD;COST
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -product sets;;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -product sets;;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -type;Standard/Variations;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -type;Assuming standard Site Genesis template;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;Footer;Persistent footer;About, contact us, FAQ, Policies, Press, Legal, Store;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Footer;Persistent footer;Assume content will be similar to existing site;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;PIM Integration;Assume building integration with Webdam;;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Prestart Activities;Prestart Activities;Prestart Activities;Build Server, Working Environment, Test Plan, Project Plan;Story;;;2;;;;3;;2;56;7;56
Refapp - P1 Release Cigars.com;Prestart Activities;Prestart Activities;Prestart Activities;Build Server, Working Environment, Test Plan, Project Plan;Story;;;2;;;;3;;2;56;7;56
Refapp - Phase 1 Release;Data Feeds;Data Feeds;Pricebook feed;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Data Feeds;Data Feeds;Pricebook feed;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
JRCigars;Storefront Implementation;My Account;Profile >> Auto ship;"automatic reorders; create a separate account";Story;;;;1,5;0,5;;0,8;0,1;0,5;27,2;3,4;27,2
JRCigars;Storefront Implementation;My Account;Profile >> Instant Checkout;Assume this is a customer profile custom attribute;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
